Symbol,Date,Open,High,Low,Close,Volume
ACPL,03-Jan-2011,62.01,62.98,61.01,62.29,13541
ACPL,04-Jan-2011,62.50,62.79,62.00,62.50,5224
ACPL,05-Jan-2011,62.45,62.60,62.01,62.02,2394
ACPL,06-Jan-2011,62.50,62.95,61.71,62.68,19617
ACPL,07-Jan-2011,62.00,62.90,62.00,62.81,5626
ACPL,10-Jan-2011,62.01,63.00,62.01,62.51,25040
ACPL,11-Jan-2011,62.98,63.10,62.50,62.93,34631
ACPL,12-Jan-2011,62.58,62.58,62.01,62.48,43010
ACPL,13-Jan-2011,62.05,63.35,62.05,62.76,52172
ACPL,14-Jan-2011,62.98,63.10,62.00,62.23,176053
ACPL,17-Jan-2011,62.00,62.99,62.00,62.53,21060
ACPL,18-Jan-2011,62.50,62.50,61.00,61.71,29052
ACPL,19-Jan-2011,61.71,61.71,61.10,61.19,18873
ACPL,20-Jan-2011,61.27,61.65,60.30,60.50,18215
ACPL,21-Jan-2011,60.75,61.50,59.20,60.18,21240
ACPL,24-Jan-2011,61.00,61.00,58.00,59.09,54761
ACPL,25-Jan-2011,59.90,59.90,58.00,58.81,19610
ACPL,26-Jan-2011,58.85,59.39,58.02,58.15,6342
ACPL,27-Jan-2011,58.89,59.48,57.00,57.93,18161
ACPL,28-Jan-2011,58.39,58.39,55.04,55.04,95898
ACPL,31-Jan-2011,55.04,55.80,52.70,53.96,64275
ACPL,01-Feb-2011,54.40,54.40,52.60,53.46,5970
ACPL,02-Feb-2011,53.64,53.64,52.65,52.97,3151
ACPL,03-Feb-2011,52.00,52.89,51.50,52.27,123265
ACPL,04-Feb-2011,52.06,52.95,51.52,52.00,29201
ACPL,07-Feb-2011,52.50,52.75,51.50,51.63,132891
ACPL,08-Feb-2011,52.60,52.60,51.38,51.52,8722
ACPL,09-Feb-2011,51.95,51.95,51.52,51.63,4139
ACPL,10-Feb-2011,51.52,51.89,51.50,51.50,18222
ACPL,11-Feb-2011,52.40,52.40,49.16,50.43,62854
ACPL,14-Feb-2011,48.60,50.99,48.60,50.86,3831
ACPL,15-Feb-2011,51.73,51.99,50.70,51.16,3424
ACPL,17-Feb-2011,50.10,51.65,50.10,50.50,1533
ACPL,18-Feb-2011,50.50,52.38,50.06,51.27,8212
ACPL,21-Feb-2011,50.25,51.39,50.20,51.26,3011
ACPL,22-Feb-2011,50.90,50.95,49.25,50.49,3900
ACPL,23-Feb-2011,49.50,51.99,48.51,51.08,12066
ACPL,24-Feb-2011,50.00,51.50,49.56,51.10,10140
ACPL,25-Feb-2011,49.55,51.90,48.55,50.45,15010
ACPL,28-Feb-2011,51.40,51.50,49.00,50.62,21003
ACPL,01-Mar-2011,48.50,50.99,48.50,50.95,4277
ACPL,02-Mar-2011,50.89,50.99,49.00,50.71,17142
ACPL,03-Mar-2011,49.51,50.99,49.51,50.50,11160
ACPL,04-Mar-2011,50.50,52.00,50.02,50.60,84453
ACPL,07-Mar-2011,51.00,51.31,50.50,50.69,29907
ACPL,08-Mar-2011,51.30,51.30,49.11,50.64,21861
ACPL,09-Mar-2011,50.50,51.70,50.50,51.50,72434
ACPL,10-Mar-2011,51.68,52.90,51.68,52.43,124975
ACPL,11-Mar-2011,51.73,52.35,51.73,51.98,8735
ACPL,14-Mar-2011,52.30,52.30,51.00,51.10,13320
ACPL,15-Mar-2011,50.26,50.26,49.32,49.50,29368
ACPL,16-Mar-2011,50.00,50.01,49.22,50.00,9722
ACPL,17-Mar-2011,50.69,50.70,50.00,50.61,32530
ACPL,18-Mar-2011,51.25,51.55,50.50,50.78,19697
ACPL,21-Mar-2011,50.99,51.88,50.10,51.35,16402
ACPL,22-Mar-2011,50.35,52.30,50.35,51.99,24736
ACPL,24-Mar-2011,51.51,52.69,51.51,51.72,1552
ACPL,25-Mar-2011,52.49,52.75,51.50,51.60,7858
ACPL,28-Mar-2011,52.00,52.00,51.36,51.50,1524
ACPL,29-Mar-2011,52.10,52.75,51.65,51.74,69565
ACPL,30-Mar-2011,51.95,52.40,51.70,52.28,9814
ACPL,31-Mar-2011,52.20,52.89,52.00,52.44,27957
ACPL,01-Apr-2011,52.50,53.85,52.50,53.50,119818
ACPL,04-Apr-2011,53.49,54.50,53.49,54.08,71935
ACPL,05-Apr-2011,53.99,54.70,53.10,54.65,38439
ACPL,06-Apr-2011,54.99,55.18,54.10,54.90,39416
ACPL,07-Apr-2011,55.70,55.70,54.74,55.44,44082
ACPL,08-Apr-2011,55.00,56.30,55.00,56.02,61831
ACPL,11-Apr-2011,56.00,56.70,55.80,56.28,11484
