Symbol,Date,Open,High,Low,Close,Volume
FECTC,04-Jan-2011,7.30,7.30,7.20,7.20,2010
FECTC,05-Jan-2011,7.00,7.00,7.00,7.00,1090
FECTC,06-Jan-2011,7.00,7.19,7.00,7.10,17500
FECTC,10-Jan-2011,7.05,7.05,7.00,7.01,2000
FECTC,11-Jan-2011,7.35,7.35,7.35,7.35,100
FECTC,12-Jan-2011,7.05,7.05,7.00,7.05,15780
FECTC,13-Jan-2011,7.00,7.20,7.00,7.20,16151
FECTC,14-Jan-2011,7.10,7.30,7.10,7.20,6300
FECTC,17-Jan-2011,7.35,7.45,7.35,7.44,11403
FECTC,18-Jan-2011,7.25,7.35,7.25,7.35,1050
FECTC,20-Jan-2011,7.25,7.25,7.25,7.25,5362
FECTC,21-Jan-2011,7.01,7.01,7.01,7.01,90
FECTC,25-Jan-2011,7.00,7.34,7.00,7.17,2000
FECTC,26-Jan-2011,7.35,7.50,7.35,7.42,1000
FECTC,27-Jan-2011,7.39,7.49,7.05,7.11,3001
FECTC,28-Jan-2011,7.03,7.03,7.00,7.00,8096
FECTC,31-Jan-2011,7.50,8.00,7.20,7.27,4629
FECTC,01-Feb-2011,7.48,7.48,7.00,7.02,1120
FECTC,02-Feb-2011,7.01,7.01,7.00,7.01,7000
FECTC,03-Feb-2011,7.01,7.01,7.01,7.01,1000
FECTC,04-Feb-2011,7.39,7.50,7.39,7.44,5000
FECTC,09-Feb-2011,7.01,7.35,7.00,7.35,1001
FECTC,11-Feb-2011,7.01,7.01,7.00,7.00,13301
FECTC,15-Feb-2011,7.20,7.25,7.20,7.25,6320
FECTC,18-Feb-2011,7.00,7.00,7.00,7.00,1000
FECTC,22-Feb-2011,7.00,7.05,7.00,7.00,2325
FECTC,23-Feb-2011,7.00,7.00,7.00,7.00,4440
FECTC,24-Feb-2011,7.10,8.00,7.10,7.54,71292
FECTC,25-Feb-2011,7.25,7.25,6.55,6.58,86500
FECTC,28-Feb-2011,7.45,7.45,6.30,6.71,1021
FECTC,01-Mar-2011,7.45,7.45,7.00,7.00,6993
FECTC,02-Mar-2011,7.25,7.25,6.75,6.84,1381
FECTC,03-Mar-2011,6.95,6.95,6.75,6.75,2500
FECTC,04-Mar-2011,7.00,7.00,7.00,7.00,1700
FECTC,07-Mar-2011,7.39,7.39,7.00,7.00,1020
FECTC,08-Mar-2011,6.76,7.00,6.76,7.00,3
FECTC,09-Mar-2011,7.00,7.00,7.00,7.00,10000
FECTC,10-Mar-2011,7.23,7.23,6.90,6.90,1126
FECTC,14-Mar-2011,6.50,7.00,6.50,7.00,1871
FECTC,15-Mar-2011,6.61,6.61,6.60,6.60,500
FECTC,16-Mar-2011,6.60,6.66,6.60,6.66,1206
FECTC,17-Mar-2011,6.81,7.15,6.60,6.60,1001
FECTC,22-Mar-2011,6.80,6.81,6.80,6.80,2600
FECTC,24-Mar-2011,6.80,6.98,6.80,6.80,1101
FECTC,25-Mar-2011,6.99,7.00,6.99,7.00,1000
FECTC,28-Mar-2011,6.50,6.93,6.50,6.50,10452
FECTC,29-Mar-2011,6.97,7.45,6.97,7.42,65371
FECTC,30-Mar-2011,7.64,8.42,7.15,8.01,62862
