Symbol,Date,Open,High,Low,Close,Volume
LUCK,03-Jan-2011,75.06,75.45,73.00,73.31,1640080
LUCK,04-Jan-2011,73.33,75.75,73.10,75.57,3054869
LUCK,05-Jan-2011,74.61,76.25,74.60,75.11,1679231
LUCK,06-Jan-2011,75.70,76.10,74.80,75.05,1164903
LUCK,07-Jan-2011,75.50,75.60,74.90,75.13,866665
LUCK,10-Jan-2011,75.59,75.80,74.60,74.78,669750
LUCK,11-Jan-2011,74.90,75.25,73.90,74.10,1110013
LUCK,12-Jan-2011,74.31,74.84,73.60,74.68,836052
LUCK,13-Jan-2011,75.00,76.55,74.75,76.27,4268155
LUCK,14-Jan-2011,76.50,77.45,75.51,77.07,8453723
LUCK,17-Jan-2011,77.50,78.00,76.76,77.17,3177619
LUCK,18-Jan-2011,77.50,77.98,76.00,76.13,1709797
LUCK,19-Jan-2011,76.34,76.74,75.01,75.27,832046
LUCK,20-Jan-2011,75.60,76.20,74.02,74.27,945608
LUCK,21-Jan-2011,74.95,75.20,71.90,72.29,1963220
LUCK,24-Jan-2011,72.80,72.80,70.75,71.00,480800
LUCK,25-Jan-2011,71.00,73.49,71.00,72.66,602810
LUCK,26-Jan-2011,72.97,73.70,72.66,73.46,392044
LUCK,27-Jan-2011,73.78,74.50,73.32,74.25,774109
LUCK,28-Jan-2011,74.25,74.48,73.40,73.76,174780
LUCK,31-Jan-2011,74.20,75.25,71.00,72.34,2111186
LUCK,01-Feb-2011,72.15,72.15,69.80,70.11,1847550
LUCK,02-Feb-2011,70.10,70.41,69.35,70.00,1285080
LUCK,03-Feb-2011,70.48,71.75,70.25,71.51,527752
LUCK,04-Feb-2011,71.99,71.99,71.05,71.40,218217
LUCK,07-Feb-2011,71.50,71.75,71.10,71.66,117413
LUCK,08-Feb-2011,71.51,71.75,71.00,71.39,330322
LUCK,09-Feb-2011,70.50,71.50,70.50,70.67,47635
LUCK,10-Feb-2011,70.67,70.95,68.01,68.60,496596
LUCK,11-Feb-2011,68.75,69.30,66.00,67.67,805010
LUCK,14-Feb-2011,67.67,69.88,67.00,68.76,333072
LUCK,15-Feb-2011,68.85,69.88,68.85,69.04,83579
LUCK,17-Feb-2011,70.00,70.00,66.80,67.03,277875
LUCK,18-Feb-2011,67.00,69.00,66.51,67.62,142149
LUCK,21-Feb-2011,67.00,67.70,66.86,67.37,73708
LUCK,22-Feb-2011,67.50,67.51,65.83,66.01,1432935
LUCK,23-Feb-2011,65.95,66.95,63.65,64.60,938933
LUCK,24-Feb-2011,64.60,65.28,62.82,63.15,1566262
LUCK,25-Feb-2011,63.15,63.15,60.01,60.32,2258782
LUCK,28-Feb-2011,60.90,62.10,59.55,61.47,980846
LUCK,01-Mar-2011,61.80,63.50,61.10,63.36,1044664
LUCK,02-Mar-2011,63.36,63.50,61.90,63.09,793840
LUCK,03-Mar-2011,63.10,63.60,62.65,63.32,823606
LUCK,04-Mar-2011,63.32,66.48,63.30,66.48,1281078
LUCK,07-Mar-2011,68.50,69.49,67.00,68.32,1109464
LUCK,08-Mar-2011,68.32,68.85,66.75,67.40,514643
LUCK,09-Mar-2011,67.84,69.20,67.50,67.96,1351530
LUCK,10-Mar-2011,68.45,68.99,68.05,68.37,291309
LUCK,11-Mar-2011,67.95,68.80,67.05,68.43,472872
LUCK,14-Mar-2011,68.99,68.99,68.10,68.15,101527
LUCK,15-Mar-2011,69.00,69.00,66.27,66.88,1248327
LUCK,16-Mar-2011,66.85,67.35,65.22,66.59,839042
LUCK,17-Mar-2011,66.70,67.80,66.61,67.49,468262
LUCK,18-Mar-2011,67.90,68.50,64.12,64.13,1951595
LUCK,21-Mar-2011,63.80,63.80,62.50,63.07,665597
LUCK,22-Mar-2011,63.65,65.45,63.65,63.99,1051093
LUCK,24-Mar-2011,64.01,65.65,64.01,65.01,2213013
